"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 23-Mar-2006",460.08,337.58,391.76,,14.31,10.50,12.19,
"00:00:00 21-Feb-2006",338.55,305.11,338.55,,10.53,9.49,10.53,
"00:00:00 22-Jan-2006",318.61,286.95,306.72,,9.91,8.93,9.54,
"00:00:00 23-Dec-2005",295.47,269.58,291.93,,9.19,8.38,9.08,
"00:00:00 23-Nov-2005",296.59,258.81,269.58,,9.22,8.05,8.38,
"00:00:00 24-Oct-2005",262.51,238.56,262.51,,8.16,7.42,8.16,
"00:00:00 24-Sep-2005",252.70,232.29,244.35,,7.86,7.23,7.60,
"00:00:00 25-Aug-2005",238.64,216.70,234.38,,7.42,6.74,7.29,
"00:00:00 26-Jul-2005",233.25,223.77,223.93,,7.25,6.96,6.97,
"00:00:00 26-Jun-2005",234.22,221.36,228.59,,7.29,6.89,7.11,
"00:00:00 27-May-2005",242.10,227.63,234.22,,7.53,7.08,7.29,
"00:00:00 27-Apr-2005",233.58,220.23,227.63,,7.27,6.85,7.08,
"00:00:00 28-Mar-2005",234.22,222.48,233.58,,7.29,6.92,7.27,
"00:00:00 26-Feb-2005",243.38,222.32,222.97,,7.57,6.91,6.94,
"00:00:00 27-Jan-2005",242.74,208.50,232.85,,7.55,6.49,7.24,
"00:00:00 28-Dec-2004",224.09,205.44,216.05,,6.97,6.39,6.72,
"00:00:00 28-Nov-2004",258.49,214.93,221.36,,8.04,6.69,6.89,
"00:00:00 29-Oct-2004",247.24,226.50,246.60,,7.69,7.04,7.67,
"00:00:00 29-Sep-2004",239.20,209.94,226.98,,7.44,6.53,7.06,
"00:00:00 30-Aug-2004",217.34,197.08,211.87,,6.76,6.13,6.59,
"00:00:00 31-Jul-2004",219.27,206.41,214.61,,6.82,6.42,6.68,
"00:00:00 01-Jul-2004",215.57,188.89,206.41,,6.70,5.88,6.42,
"00:00:00 01-Jun-2004",198.61,181.01,190.01,,6.18,5.63,5.91,
"00:00:00 02-May-2004",198.21,176.67,198.21,,6.17,5.50,6.17,
"00:00:00 02-Apr-2004",266.53,179.08,191.30,,8.29,5.57,5.95,
"00:00:00 03-Mar-2004",255.28,212.03,255.28,,7.94,6.59,7.94,
"00:00:00 02-Feb-2004",220.55,195.48,220.55,,6.86,6.08,6.86,
"00:00:00 03-Jan-2004",213.80,192.10,200.14,,6.65,5.97,6.23,
"00:00:00 04-Dec-2003",192.42,174.10,192.42,,5.98,5.42,5.98,
"00:00:00 04-Nov-2003",175.86,158.58,175.86,,5.47,4.93,5.47,
"00:00:00 05-Oct-2003",166.70,154.81,162.68,,5.18,4.82,5.06,
"00:00:00 05-Sep-2003",170.96,160.75,163.33,,5.32,5.00,5.08,
"00:00:00 06-Aug-2003",165.74,156.57,161.24,,5.16,4.87,5.02,
"00:00:00 07-Jul-2003",164.61,149.66,160.11,,5.12,4.65,4.98,
"00:00:00 07-Jun-2003",149.66,144.12,149.66,,4.65,4.48,4.65,
"00:00:00 08-May-2003",156.41,144.04,145.64,,4.86,4.48,4.53,
"00:00:00 08-Apr-2003",154.16,140.98,153.04,,4.79,4.38,4.76,
"00:00:00 09-Mar-2003",150.30,140.50,140.98,,4.67,4.37,4.38,
"00:00:00 07-Feb-2003",153.52,144.44,150.06,,4.78,4.49,4.67,
"00:00:00 08-Jan-2003",158.42,152.15,153.52,,4.93,4.73,4.78,
"00:00:00 09-Dec-2002",157.86,147.25,155.61,,4.91,4.58,4.84,
"00:00:00 09-Nov-2002",149.58,142.43,149.58,,4.65,4.43,4.65,
"00:00:00 10-Oct-2002",147.49,138.09,147.49,,4.59,4.30,4.59,
"00:00:00 10-Sep-2002",149.42,140.02,140.02,,4.65,4.36,4.36,
"00:00:00 11-Aug-2002",151.27,142.11,145.80,,4.71,4.42,4.53,
"00:00:00 12-Jul-2002",163.89,145.96,148.86,,5.10,4.54,4.63,
"00:00:00 12-Jun-2002",162.12,154.32,161.40,,5.04,4.80,5.02,
"00:00:00 13-May-2002",162.36,147.89,157.22,,5.05,4.60,4.89,
"00:00:00 13-Apr-2002",149.02,142.91,148.62,,4.64,4.44,4.62,
"00:00:00 14-Mar-2002",151.11,144.20,146.77,,4.70,4.49,4.57,
"00:00:00 12-Feb-2002",147.81,140.66,144.76,,4.60,4.38,4.50,
"00:00:00 13-Jan-2002",153.04,136.16,141.46,,4.76,4.24,4.40,
"00:00:00 14-Dec-2001",155.77,137.28,153.04,,4.84,4.27,4.76,
"00:00:00 14-Nov-2001",137.93,130.69,137.28,,4.29,4.06,4.27,
"00:00:00 15-Oct-2001",142.11,131.98,132.22,,4.42,4.11,4.11,
"00:00:00 15-Sep-2001",149.34,137.28,142.11,,4.64,4.27,4.42,
"00:00:00 16-Aug-2001",137.28,133.91,137.28,,4.27,4.17,4.27,
"00:00:00 17-Jul-2001",138.57,133.10,136.00,,4.31,4.14,4.23,
"00:00:00 17-Jun-2001",143.07,135.84,138.57,,4.45,4.23,4.31,
"00:00:00 18-May-2001",148.70,139.29,143.07,,4.63,4.33,4.45,
"00:00:00 18-Apr-2001",142.59,138.97,142.11,,4.44,4.32,4.42,
"00:00:00 19-Mar-2001",142.35,138.09,141.62,,4.43,4.30,4.40,
"00:00:00 17-Feb-2001",145.00,139.86,139.86,,4.51,4.35,4.35,
"00:00:00 18-Jan-2001",154.97,144.68,144.68,,4.82,4.50,4.50,
"00:00:00 19-Dec-2000",150.06,144.52,150.06,,4.67,4.50,4.67,
"00:00:00 19-Nov-2000",152.56,147.09,147.09,,4.75,4.58,4.58,
"00:00:00 20-Oct-2000",155.29,149.58,149.58,,4.83,4.65,4.65,
"00:00:00 20-Sep-2000",158.74,154.97,155.29,,4.94,4.82,4.83,
