"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 09-Aug-2008",27841.40,24911.12,26131.95,,865.96,774.82,812.79,
"00:00:00 10-Jul-2008",31754.75,27377.23,27538.81,,987.68,851.53,856.55,
"00:00:00 10-Jun-2008",30425.75,27605.67,29861.74,,946.35,858.63,928.80,
"00:00:00 11-May-2008",30072.71,27665.09,28729.24,,935.37,860.48,893.58,
"00:00:00 11-Apr-2008",30634.43,27206.71,28455.97,,952.84,846.22,885.08,
"00:00:00 12-Mar-2008",33189.62,28124.01,29849.47,,1032.31,874.75,928.42,
"00:00:00 11-Feb-2008",31908.27,28845.75,31270.56,,992.46,897.20,972.62,
"00:00:00 12-Jan-2008",30117.65,27312.60,29594.22,,936.76,849.52,920.48,
"00:00:00 13-Dec-2007",28868.54,25250.09,28803.99,,897.91,785.37,895.90,
"00:00:00 13-Nov-2007",26901.03,24857.27,26099.62,,836.72,773.15,811.79,
"00:00:00 14-Oct-2007",27182.14,23980.53,25445.55,,845.46,745.88,791.45,
"00:00:00 14-Sep-2007",24240.16,22645.49,24123.91,,753.95,704.35,750.34,
"00:00:00 15-Aug-2007",23010.98,20687.05,22724.78,,715.72,643.44,706.82,
"00:00:00 16-Jul-2007",22089.26,21156.66,21542.09,,687.05,658.05,670.03,
"00:00:00 16-Jun-2007",21518.12,20585.52,21455.18,,669.29,640.28,667.33,
"00:00:00 17-May-2007",21675.48,20713.94,21084.93,,674.18,644.28,655.81,
"00:00:00 17-Apr-2007",22304.84,21229.00,21298.72,,693.76,660.30,662.46,
"00:00:00 18-Mar-2007",22234.46,20922.32,22205.52,,691.57,650.76,690.67,
"00:00:00 16-Feb-2007",22142.81,20343.48,21028.07,,688.72,632.75,654.05,
"00:00:00 17-Jan-2007",21629.74,19958.37,21498.71,,672.76,620.77,668.68,
"00:00:00 18-Dec-2006",20720.68,19416.78,20077.35,,644.49,603.93,624.48,
"00:00:00 18-Nov-2006",20903.73,19743.12,19801.19,,650.18,614.08,615.89,
